shard,split,modality,file_count
Dataset_Shard_0400000_0499999,train,Mask_Full_HR,83327
Dataset_Shard_0400000_0499999,train,Mask_Full_LR,83327
Dataset_Shard_0400000_0499999,train,Mask_Skin_HR,83327
Dataset_Shard_0400000_0499999,train,Mask_Skin_LR,83327
Dataset_Shard_0400000_0499999,val,Img_HR,7417
Dataset_Shard_0400000_0499999,val,Img_LR,7417
Dataset_Shard_0400000_0499999,val,Mask_Cloth_HR,7417
Dataset_Shard_0400000_0499999,val,Mask_Cloth_LR,7417
Dataset_Shard_0400000_0499999,val,Mask_Full_HR,7417
Dataset_Shard_0400000_0499999,val,Mask_Full_LR,7417
Dataset_Shard_0400000_0499999,val,Mask_Skin_HR,7417
Dataset_Shard_0400000_0499999,val,Mask_Skin_LR,7417
Dataset_Shard_0400000_0499999,test,Img_HR,9256
Dataset_Shard_0400000_0499999,test,Img_LR,9256
Dataset_Shard_0400000_0499999,test,Mask_Cloth_HR,9256
Dataset_Shard_0400000_0499999,test,Mask_Cloth_LR,9256
Dataset_Shard_0400000_0499999,test,Mask_Full_HR,9256
Dataset_Shard_0400000_0499999,test,Mask_Full_LR,9256
Dataset_Shard_0400000_0499999,test,Mask_Skin_HR,9256
Dataset_Shard_0400000_0499999,test,Mask_Skin_LR,9256
Dataset_Shard_0500000_0599999,train,Img_HR,507
Dataset_Shard_0500000_0599999,train,Img_LR,507
Dataset_Shard_0500000_0599999,train,Mask_Cloth_HR,507
Dataset_Shard_0500000_0599999,train,Mask_Cloth_LR,507
Dataset_Shard_0500000_0599999,train,Mask_Full_HR,507
Dataset_Shard_0500000_0599999,train,Mask_Full_LR,507
Dataset_Shard_0500000_0599999,train,Mask_Skin_HR,507
Dataset_Shard_0500000_0599999,train,Mask_Skin_LR,507
Dataset_Shard_0500000_0599999,val,Img_HR,0
Dataset_Shard_0500000_0599999,val,Img_LR,0
Dataset_Shard_0500000_0599999,val,Mask_Cloth_HR,0
Dataset_Shard_0500000_0599999,val,Mask_Cloth_LR,0
Dataset_Shard_0500000_0599999,val,Mask_Full_HR,0
Dataset_Shard_0500000_0599999,val,Mask_Full_LR,0
Dataset_Shard_0500000_0599999,val,Mask_Skin_HR,0
Dataset_Shard_0500000_0599999,val,Mask_Skin_LR,0
Dataset_Shard_0500000_0599999,test,Img_HR,0
Dataset_Shard_0500000_0599999,test,Img_LR,0
Dataset_Shard_0500000_0599999,test,Mask_Cloth_HR,0
Dataset_Shard_0500000_0599999,test,Mask_Cloth_LR,0
Dataset_Shard_0500000_0599999,test,Mask_Full_HR,0
Dataset_Shard_0500000_0599999,test,Mask_Full_LR,0
Dataset_Shard_0500000_0599999,test,Mask_Skin_HR,0
Dataset_Shard_0500000_0599999,test,Mask_Skin_LR,0
