modality,total_files,sampled_files,readable_files,unreadable_files,expected_resolution,dominant_resolution,resolution_match_rate,formats,modes,resolution_counts,mean_file_size_bytes,median_file_size_bytes
Img_HR,500507,5000,5000,0,1920x1080,1920x1080,1.0,JPEG:5000,RGB:5000,1920x1080:5000,321347.2516,308132.5
Img_LR,500507,5000,5000,0,640x360,640x360,1.0,JPEG:5000,RGB:5000,640x360:5000,67266.823,65121.5
Mask_Cloth_HR,500507,5000,5000,0,1920x1080,1920x1080,1.0,PNG:5000,L:5000,1920x1080:5000,6492.9138,6141.0
Mask_Cloth_LR,500507,5000,5000,0,640x360,640x360,1.0,PNG:5000,L:5000,640x360:5000,1596.0308,1492.0
Mask_Full_HR,500507,5000,5000,0,1920x1080,1920x1080,1.0,PNG:5000,L:5000,1920x1080:5000,5684.8676,5285.0
Mask_Full_LR,500507,5000,5000,0,640x360,640x360,1.0,PNG:5000,L:5000,640x360:5000,1398.5394,1284.0
Mask_Skin_HR,500507,5000,5000,0,1920x1080,1920x1080,1.0,PNG:5000,L:5000,1920x1080:5000,5051.5468,5004.0
Mask_Skin_LR,500507,5000,5000,0,640x360,640x360,1.0,PNG:5000,L:5000,640x360:5000,1230.005,1212.0
