shard,frames,videos,percentage_of_frames,expected_capacity,capacity_utilization_percent
Dataset_Shard_0000000_0099999,100000,110,19.979740543089306,100000,100.0
Dataset_Shard_0100000_0199999,100000,108,19.979740543089306,100000,100.0
Dataset_Shard_0200000_0299999,100000,112,19.979740543089306,100000,100.0
Dataset_Shard_0300000_0399999,100000,112,19.979740543089306,100000,100.0
Dataset_Shard_0400000_0499999,100000,109,19.979740543089306,100000,100.0
Dataset_Shard_0500000_0599999,507,1,0.10129728455346279,100000,0.507
